Rank,Player ID,Player,Team,Position(s),ADP,Min Pick,Max Pick,Difference,# Picks,Team,Team Pick
227,15283,"Kupp, Cooper",SEA,WR,236.94,149,288,,86,,
228,22945,"McGowan, Seth",IND,RB,237.53,168,355,,95,,
229,21160,"Wright, Jaylen",MIA,RB,238.44,139,304,,85,,
230,20281,"Young, Bryce",CAR,QB,240.31,118,244,,44,,
231,1842,"Bears, Chicago",CHI,TDSP,242.09,178,255,,75,,
232,22116,"Noel, Jaylin",HOU,WR,243.28,160,345,,91,,
233,16065,"Ridley, Calvin",TEN,WR,244.30,162,345,,78,,
234,1870,"Lions, Detroit",DET,TDSP,246.08,193,281,,77,,
235,5712,"Rodgers, Aaron",PIT,QB,247.30,122,251,,42,,
236,20100,"Davis, Malik",DAL,RB,247.85,169,338,,85,,
237,22123,"Helm, Gunnar",TEN,TE,248.97,186,261,,60,,
238,11818,"Smith, Geno",NYJ,QB,249.36,145,249,,41,,
239,2958,"Ravens, Baltimore",BAL,TK,251.71,159,291,,86,,
240,2871,"Browns, Cleveland",CLE,TDSP,252.54,157,276,,59,,
241,21127,"Franklin, Troy",DEN,WR,252.69,123,326,,60,,
242,1877,"Packers, Green Bay",GB,TDSP,252.77,167,261,,64,,
243,15362,"Perine, Samaje",CIN,RB,254.29,170,306,,75,,
244,22928,"Mendoza, Fernando",LV,QB,255.45,152,272,,35,,
245,2984,"Buccaneers, Tampa Bay",TB,TK,257.06,217,280,,77,,
246,19632,"Otton, Cade",TB,TE,257.09,173,286,,45,,
247,1982,"49ers, San Francisco",SF,TDSP,257.15,171,297,,65,,
248,2973,"Patriots, New England",NE,TK,257.61,167,299,,80,,
249,18169,"Mooney, Darnell",NYG,WR,258.34,157,333,,56,,
250,1828,"Bills, Buffalo",BUF,TDSP,258.53,188,258,,49,,
251,1905,"Chiefs, Kansas City",KC,TDSP,258.54,201,276,,53,,
252,20719,"Demercado, Emari",KC,RB,259.01,154,339,,65,,
253,2968,"Colts, Indianapolis",IND,TK,259.22,168,291,,66,,
254,2979,"Steelers, Pittsburgh",PIT,TK,259.53,163,285,,64,,
255,19960,"Tonges, Jake",SF,TE,259.59,193,311,,64,,
256,2970,"Chiefs, Kansas City",KC,TK,260.45,206,288,,69,,
257,1933,"Saints, New Orleans",NO,TDSP,261.10,147,274,,49,,
258,2962,"Bengals, Cincinnati",CIN,TK,261.55,158,299,,66,,
259,15306,"Conner, James",ARZ,RB,261.89,169,335,,62,,
260,15227,"Njoku, David",LAC,TE,262.42,177,329,,52,,
261,18785,"Bateman, Rashod",BAL,WR,262.62,183,353,,62,,
262,22947,"Bernard, Germie",PIT,WR,262.87,154,348,,65,,
263,18792,"Freiermuth, Pat",PIT,TE,263.22,191,293,,41,,
264,18018,"Parkinson, Colby",LA,TE,263.47,167,300,,44,,
265,1856,"Cowboys, Dallas",DAL,TDSP,263.57,187,271,,47,,
266,17975,"Tagovailoa, Tua",ATL,QB,266.34,151,352,,32,,
267,21130,"Coleman, Keon",BUF,WR,266.55,172,352,,55,,
268,2961,"Bears, Chicago",CHI,TK,266.93,163,300,,55,,
269,1814,"Falcons, Atlanta",ATL,TDSP,267.08,165,272,,37,,
270,1940,"Giants, New York (NYG)",NYG,TDSP,267.48,203,281,,37,,
271,10974,"Cousins, Kirk",LV,QB,267.71,156,315,,30,,
272,2003,"Buccaneers, Tampa Bay",TB,TDSP,268.73,199,295,,41,,
273,15238,"Engram, Evan",DEN,TE,268.96,193,296,,41,,
274,1884,"Titans, Tennessee",TEN,TDSP,270.37,210,322,,47,,
275,20298,"Penix Jr., Michael",ATL,QB,270.39,195,324,,32,,
276,2965,"Broncos, Denver",DEN,TK,271.22,162,306,,49,,
277,21001,"Wilson, Emanuel",SEA,RB,271.62,175,343,,40,,
278,16132,"Kirk, Christian",SF,WR,272.48,157,354,,46,,
279,1891,"Colts, Indianapolis",IND,TDSP,272.60,220,300,,35,,
280,22071,"Gordon II, Ollie",MIA,RB,273.90,198,336,,47,,
281,2967,"Packers, Green Bay",GB,TK,274.51,163,312,,43,,
282,22112,"Bech, Jack",LV,WR,275.31,209,347,,45,,
283,1835,"Panthers, Carolina",CAR,TDSP,275.82,231,291,,30,,
284,22056,"Sanders, Shedeur",CLE,QB,275.96,159,323,,28,,
285,1954,"Raiders, Las Vegas",LV,TDSP,276.87,205,352,,41,,
286,1849,"Bengals, Cincinnati",CIN,TDSP,276.95,209,323,,32,,
287,22969,"Lance, Bryce",NO,WR,278.22,197,359,,42,,
288,15231,"Watson, Deshaun",CLE,QB,278.82,157,353,,30,,
289,22120,"Taylor, Mason",NYJ,TE,278.86,148,335,,29,,
290,2957,"Falcons, Atlanta",ATL,TK,279.12,222,311,,37,,
291,19453,"Tolbert, Jalen",MIA,WR,279.16,200,357,,32,,
292,20341,"Douglas, DeMario",NE,WR,279.20,189,351,,45,,
293,2974,"Saints, New Orleans",NO,TK,279.58,163,312,,37,,
294,22960,"Randall, Adam",BAL,RB,280.18,177,352,,39,,
295,21146,"Pearsall, Ricky",SF,WR,280.19,187,187,,1,,
296,22114,"Higgins, Jayden",HOU,WR,280.26,195,195,,1,,
297,18828,"Carter, Michael",TEN,RB,280.29,199,199,,1,,
298,20790,"Saylors, Jacob",DET,RB,280.37,208,208,,1,,
299,20290,"Tillman, Cedric",CLE,WR,280.49,222,222,,1,,
300,23176,"Coleman Jr., Kevin",MIA,WR,280.59,233,233,,1,,
301,22090,"Allen Jr., LeQuint",JAX,RB,280.88,214,353,,39,,
302,19442,"Pickett, Kenny",CAR,QB,281.03,284,284,,1,,
303,22108,"Johnson, Tez",TB,WR,281.07,245,319,,4,,
304,20304,"Miller, Kendre",NO,RB,281.08,182,356,,37,,
305,21178,"Guerendo, Isaac",SF,RB,281.09,222,351,,2,,
